"No.","Time","Time delta from previous captured frame","Reception Port","Source","Destination","CycleCounter","TransferStatus","Protocol","Length","Info"
"211","0.832276414","0.004562964","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","48640","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:48640 (Valid,Primary,Ok,Run)"
"212","0.837562470","0.005286056","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","48640","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:48640 (Valid,Primary,Ok,Run)"
"215","0.848277124","0.004558354","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","49152","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:49152 (Valid,Primary,Ok,Run)"
"216","0.853595010","0.005317886","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","49152","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:49152 (Valid,Primary,Ok,Run)"
"220","0.864277824","0.004405924","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","49664","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:49664 (Valid,Primary,Ok,Run)"
"222","0.873630510","0.003987290","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","49664","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:49664 (Valid,Primary,Ok,Run)"
"224","0.880278534","0.005469004","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","50176","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:50176 (Valid,Primary,Ok,Run)"
"226","0.890192990","0.004550100","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","50176","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:50176 (Valid,Primary,Ok,Run)"
"228","0.896279244","0.004938934","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","50688","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:50688 (Valid,Primary,Ok,Run)"
"232","0.903696790","0.002054230","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","50688","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:50688 (Valid,Primary,Ok,Run)"
"235","0.912279954","0.001300394","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","51200","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:51200 (Valid,Primary,Ok,Run)"
"238","0.917852620","0.000073280","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","51200","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:51200 (Valid,Primary,Ok,Run)"
